Osornosapo de Simpson,Amphibia,Anura,Bufonidae,Osornophryne
Sapo de Coloma,Amphibia,Anura,Bufonidae,Rhaebo
Tandayapa Andes toad,Amphibia,Anura,Bufonidae,Rhaebo
Arlequín angelito,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de Arthur,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de Bolívar,Amphibia,Anura,Bufonidae,Atelopus
Arlequín moteado,Amphibia,Anura,Bufonidae,Atelopus
Arlequín del río Pescado,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de Cuenca,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de Boulenger,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de Coyne,Amphibia,Anura,Bufonidae,Atelopus
Arlequín del río Faisanes,Amphibia,Anura,Bufonidae,Atelopus
Arlequín elegante,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de Mazán,Amphibia,Anura,Bufonidae,Atelopus
Puca sapo,Amphibia,Anura,Bufonidae,Atelopus
Morona Santiago stubfoot Toad,Amphibia,Anura,Bufonidae,Atelopus
Jambato,Amphibia,Anura,Bufonidae,Atelopus
Arlequín hocicudo,Amphibia,Anura,Bufonidae,Atelopus
Arlequín esquelético,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de Lynch,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de Mindo,Amphibia,Anura,Bufonidae,Atelopus
Arlequín triste,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de pañal,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de Onore,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de Orcés,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de piel gruesa,Amphibia,Anura,Bufonidae,Atelopus
Arlequín palmeado,Amphibia,Anura,Bufonidae,Atelopus
Arlequín pastuso,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de Peters,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de planispina,Amphibia,Anura,Bufonidae,Atelopus
Arlequín de Podocarpus,Amphibia,Anura,Bufonidae,Atelopus
Arlequín amazónico,Amphibia,Anura,Bufonidae,Atelopus
Sapo conífero,Amphibia,Anura,Bufonidae,Incilius
Osornosapo de Antisana,Amphibia,Anura,Bufonidae,Osornophryne
Osornosapo de Santa Bárbara,Amphibia,Anura,Bufonidae,Osornophryne
Osornosapo de los guacamayos,Amphibia,Anura,Bufonidae,Osornophryne
Osornotoad of macaws,Amphibia,Anura,Bufonidae,Osornophryne
Osornosapo gigante,Amphibia,Anura,Bufonidae,Osornophryne
Osornosapo de Sumaco,Amphibia,Anura,Bufonidae,Osornophryne
Osornosapo trompudo,Amphibia,Anura,Bufonidae,Osornophryne
Osornosapo Cofán,Amphibia,Anura,Bufonidae,Osornophryne
Sapo gigante de Blomberg,Amphibia,Anura,Bufonidae,Rhaebo
Sapo de Chanchan,Amphibia,Anura,Bufonidae,Rhaebo
Sapo gigante de Cuyabeno,Amphibia,Anura,Bufonidae,Rhaebo
Smooth-sided toad,Amphibia,Anura,Bufonidae,Rhaebo
Sapo sanguinolento,Amphibia,Anura,Bufonidae,Rhaebo
Truando toad,Amphibia,Anura,Bufonidae,Rhaebo
Sapo amable,Amphibia,Anura,Bufonidae,Rhinella
Sapo cornudo termitero,Amphibia,Anura,Bufonidae,Rhinella
Sapo oreja de ratón,Amphibia,Anura,Bufonidae,Rhinella
Sapo del Valle de Santiago,Amphibia,Anura,Bufonidae,Rhinella
Sapo marino,Amphibia,Anura,Bufonidae,Rhinella
Sapo común grande,Amphibia,Anura,Bufonidae,Rhinella
Sapo hocicudo,Amphibia,Anura,Bufonidae,Rhinella
Sapo roqueano,Amphibia,Anura,Bufonidae,Rhinella
Medem Giant Glass Frog,Amphibia,Anura,Centrolenidae,Centrolene
Rana de Cristal punteada de Torrente,Amphibia,Anura,Centrolenidae,Centrolene
Mindo Cochran Frog,Amphibia,Anura,Centrolenidae,Cochranella
Rana de cristal de espina curva,Amphibia,Anura,Centrolenidae,Espadarana
Rana de cristal de rostro adornado,Amphibia,Anura,Centrolenidae,Centrolene
Rana de cristal,Amphibia,Anura,Centrolenidae,Centrolene
Buckley's Giant Glass Frog,Amphibia,Anura,Centrolenidae,Centrolene
Pacific Giant Glass Frog,Amphibia,Anura,Centrolenidae,Centrolene
Pichincha Giant Glass Frog,Amphibia,Anura,Centrolenidae,Centrolene
Lynch's Giant Glass Frog,Amphibia,Anura,Centrolenidae,Centrolene
Tandapi Giant Glass Frog,Amphibia,Anura,Centrolenidae,Centrolene
Amazon Giant Glass Frog,Amphibia,Anura,Centrolenidae,Centrolene
Rana de cristal del litoral,Amphibia,Anura,Centrolenidae,Cochranella
Rana de cristal de iris anaranjado,Amphibia,Anura,Centrolenidae,Cochranella
Nicaragua Giant Glass Frog,Amphibia,Anura,Centrolenidae,Espadarana
Rana de cristal del sol,Amphibia,Anura,Centrolenidae,Hyalinobatrachium
Napo Cochran Frog,Amphibia,Anura,Centrolenidae,Nymphargus
Giant Glass Frog,Amphibia,Anura,Centrolenidae,Nymphargus
Puyo Giant Glass Frog,Amphibia,Anura,Centrolenidae,Nymphargus
Rana de Cristal Punteada de Blanco,Amphibia,Anura,Centrolenidae,Sachatamia
White-spotted Cochran Frog,Amphibia,Anura,Centrolenidae,Sachatamia
Rana de cristal fantasma,Amphibia,Anura,Centrolenidae,Sachatamia
Limon Giant Glass Frog,Amphibia,Anura,Centrolenidae,Sachatamia
Rana cornuda,Amphibia,Anura,Ceratophryidae,Ceratophrys
Sapo bocón tumbesino,Amphibia,Anura,Ceratophryidae,Ceratophrys
Rana venenosa de Santa Cecilia,Amphibia,Anura,Dendrobatidae,Allobates
Rana venenosa trilineada,Amphibia,Anura,Dendrobatidae,Allobates
Napipiripri,Amphibia,Anura,Dendrobatidae,Allobates
Ranita venenosa zápara,Amphibia,Anura,Dendrobatidae,Allobates
Rana venenosa ecuatoriana cupemo,Amphibia,Anura,Dendrobatidae,Ameerega
Rana venenosa de Yurimaguas,Amphibia,Anura,Dendrobatidae,Ameerega
Rana venenosa rojiza,Amphibia,Anura,Dendrobatidae,Dendrobates
Diablito colorado,Amphibia,Anura,Dendrobatidae,Oophaga
Rana venenosa amazónica,Amphibia,Anura,Dendrobatidae,Dendrobates
Rana de la epibatidina,Amphibia,Anura,Dendrobatidae,Epipedobates
Caucherito,Amphibia,Anura,Dendrobatidae,Epipedobates
Rana venesosa marmórea,Amphibia,Anura,Dendrobatidae,Epipedobates
Rana nodriza de Machalilla,Amphibia,Anura,Dendrobatidae,Epipedobates
Rana tricolor ecuatoriana,Amphibia,Anura,Dendrobatidae,Epipedobates
Rana venenosa awa,Amphibia,Anura,Dendrobatidae,Hyloxalus
Ranita de Bocage,Amphibia,Anura,Dendrobatidae,Hyloxalus
Rana cohete de Pastaza,Amphibia,Anura,Dendrobatidae,Hyloxalus
Rana cohete de Quito,Amphibia,Anura,Dendrobatidae,Hyloxalus
Rana venenosa de Toachi,Amphibia,Anura,Dendrobatidae,Hyloxalus
Rana cohete de Cuenca,Amphibia,Anura,Dendrobatidae,Hyloxalus
Rana cohete de Yasuní,Amphibia,Anura,Dendrobatidae,Hyloxalus
Rana marsupial cornuda,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial arborícola,Amphibia,Anura,Hemiphractidae,Gastrotheca
Sumaco Horned Treefrog,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial de espeletia,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial de La Cocha,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial dentada,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial de vientre gris,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial azuaya,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial cabezona,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial patuda,Amphibia,Anura,Hemiphractidae,Gastrotheca
Horned marsupial frog,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial de Papallacta,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial bromelícola,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial críptica,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial de San Lucas,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial de frío,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial lojana,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana marsupial andina,Amphibia,Anura,Hemiphractidae,Gastrotheca
Rana de cabeza triangular,Amphibia,Anura,Hemiphractidae,Hemiphractus
Rana cornuda incubadora,Amphibia,Anura,Hemiphractidae,Hemiphractus
Rana cornuda,Amphibia,Anura,Hemiphractidae,Hemiphractus
Rana mono de Spurrell,Amphibia,Anura,Phyllomedusidae,Agalychnis
Rana Planeadora,Amphibia,Anura,Phyllomedusidae,Agalychnis
Rana Esplendida,Amphibia,Anura,Phyllomedusidae,Cruziohyla
